PersonID,UNO,SERO,Mode,Alt1_ch,Alt2_ch,Alt3_ch,WEIGHT,DIST,IVTT_DA,OVTT_DA,OVTDS_DA,COST_DA,IVTT_SR,OVTT_SR,OVTDS_SR,COST_SR,IVTT_TR,OVTT_TR,OVTDS_TR,COST_TR,VEHWRK,POPDENS,MALE,AGE,HIGHINC
1,1,0,1,1,0,0,1.8362,26.7,47,2,0.0749,2.62,51.4,4.2,0.1573,1.31,47.9,37.6,1.4082,3,2,23.2,1,46,0
2,1,0,1,1,0,0,1.8362,4.9,12,8,1.6327,1.23,15.3,10.4,2.1224,0.62,15.1,32.4,6.6122,1.25,1,35.52,1,31,0
3,1,0,1,1,0,0,1.8362,2.8,28,5,1.7857,1.02,34.7,6.8,2.4286,0.52,80.8,45,16.0714,4.15,1,35.52,1,31,0
4,1,0,1,1,0,0,1.8362,22.1,28,5,0.2262,2.17,34.7,6.8,0.3077,1.08,71,51.5,2.3303,4.25,1,35.52,1,31,0
5,1,0,3,0,0,1,0.2982,2.5,7,4,1.6,0.28,9.4,6.3,2.52,0.14,4.9,12.9,5.16,0,0.5,29.61,0,25,0
6,1,0,3,0,0,1,0.2982,2.5,6,4,1.6,0.28,8.1,5.9,2.36,0.14,4.9,12.4,4.96,0,0.5,29.61,0,20,0
7,1,0,3,0,0,1,0.2982,2.5,6,4,1.6,0.28,8,5.6,2.24,0.14,4.9,17.7,7.08,0.75,0.5,29.61,0,20,0
8,1,0,1,1,0,0,1.8362,2.5,6,4,1.6,2.74,8,5.6,2.24,1.37,4.9,13.4,5.36,0,0.5,29.61,0,25,0
9,1,0,1,1,0,0,1.8362,2.5,6,4,1.6,2.74,8,5.6,2.24,1.37,4.9,19.2,7.68,0.75,0.5,29.61,0,25,0
10,1,0,1,1,0,0,1.8362,5.2,14,2,0.3846,0.51,16.7,4.2,0.8077,0.26,31.5,32.8,6.3077,0.75,1,1.05,0,48,0
11,1,0,1,1,0,0,1.8362,6.7,13,2,0.2985,0.66,15.7,3.8,0.5672,0.33,31.5,32.8,4.8955,0.75,1,1.05,0,48,0
12,1,0,1,1,0,0,1.8362,5.4,18,7,1.2963,0.53,20.9,9.4,1.7407,0.27,21.1,26.3,4.8704,0.75,1,40.84,0,56,0
13,1,0,1,1,0,0,1.8362,1.5,15,7,4.6667,4.4,18.9,9.2,6.1333,2.19,18.8,24.8,16.5333,1.25,1,23.73,1,48,0
14,1,0,1,1,0,0,1.8362,4,11,4,1,0.39,13.5,5.9,1.475,0.2,30.8,32.6,8.15,1,1,16.03,1,65,0
15,1,0,1,1,0,0,1.8362,3.3,10,8,2.4242,0.32,12.5,10.3,3.1212,0.16,19.6,14.6,4.4242,0.75,0.6,29.56,1,49,0
16,1,0,1,1,0,0,1.8362,1,10,8,8,0.1,12.9,10.4,10.4,0.05,18.5,21.5,21.5,0.75,0.6,29.56,1,49,0
17,1,0,1,1,0,0,1.8362,5.7,14,7,1.2281,0.56,17.7,9.2,1.614,0.28,27.9,18.2,3.193,0.75,0.6,29.56,1,49,0
18,1,0,3,0,0,1,0.2982,1,3,7,7,1.95,5.2,9.4,9.4,0.98,6.4,4,4,0.5,1,19.83,0,54,0
19,1,0,3,0,0,1,0.2982,1,3,7,7,1.95,4.9,9.2,9.2,0.98,4.2,3.5,3.5,0.5,1,19.83,0,54,0
20,1,0,2,0,1,0,0.6426,3.4,12,5,1.4706,0.33,14.6,7,2.0588,0.17,11.6,19.2,5.6471,0.75,0.8,33.82,1,23,0
21,1,0,2,0,1,0,0.6426,3.4,12,5,1.4706,0.33,14.6,7,2.0588,0.17,11.6,12.5,3.6765,0.75,0.8,33.82,1,23,0
22,1,0,2,0,1,0,0.6426,3.7,13,5,1.3514,0.36,15.7,7.3,1.973,0.18,11.6,19.2,5.1892,0.75,0.8,33.82,1,23,0
23,1,0,2,0,1,0,0.6426,3.4,12,5,1.4706,0.33,14.6,7,2.0588,0.17,11.6,24.6,7.2353,0.75,0.8,33.82,1,23,0
24,1,0,2,0,1,0,0.6426,3.7,13,5,1.3514,0.36,15.7,7.3,1.973,0.18,11.6,24.6,6.6486,0.75,0.8,33.82,1,23,0
25,1,0,2,0,1,0,0.6426,3.4,12,5,1.4706,1.83,14.6,7,2.0588,0.92,11.6,24.6,7.2353,0.75,0.8,33.82,0,23,0
26,1,0,2,0,1,0,0.6426,3.7,13,5,1.3514,1.86,15.7,7.3,1.973,0.93,11.6,25.6,6.9189,0.75,0.8,33.82,0,23,0
27,1,0,3,0,0,1,0.2982,7.3,21,8,1.0959,5.68,24.1,10.4,1.4247,2.84,20.9,27.3,3.7397,1,0.5,13.93,0,40,0
28,1,0,3,0,0,1,0.2982,1.7,5,8,4.7059,0.24,6.8,10.4,6.1176,0.13,4.3,15,8.8235,0.5,1,75.67,0,47,0
29,1,0,3,0,0,1,0.2982,1.7,5,8,4.7059,0.24,6.8,10.4,6.1176,0.13,8.2,11.4,6.7059,0.5,1,75.67,0,47,0
30,1,0,3,0,0,1,0.2982,4.1,14,9,2.1951,4.08,16.8,11.4,2.7805,2.04,20.8,12.5,3.0488,0.75,0.5,43.15,0,36,0
31,1,0,3,0,0,1,0.2982,4.4,15,10,2.2727,4.11,17.8,12.5,2.8409,2.05,18.4,9.4,2.1364,0.75,0.5,43.15,0,36,0
32,1,0,2,0,1,0,0.6426,12.1,25,4,0.3306,1.19,28.7,5.9,0.4876,0.59,32.5,62.6,5.1736,2.4,0.5,41.92,1,30,1
33,1,0,2,0,1,0,0.6426,12.1,25,4,0.3306,1.19,28.7,5.9,0.4876,0.59,32.5,62.6,5.1736,2.4,0.5,41.92,1,33,1
34,1,0,2,0,1,0,0.6426,7,22,8,1.1429,3.19,25.1,10.4,1.4857,1.59,32.1,21.8,3.1143,1.25,1,19.88,0,25,0
35,1,0,1,1,0,0,1.8362,14,26,5,0.3571,1.37,29.8,7,0.5,0.69,25.7,29.7,2.1214,3,1,39.34,1,28,0
